Regional,Municipio,Empreendimento,Modalidade,Classe,Atividade,Ano,Mes,Data de Publicacao,Decisao
SUPRAM Triângulo Mineiro / Alto Paranaíba,São Francisco de Sales,MIRANDA E ASSUNÇÃO LTDA ME,LAS RAS,3,A-03-01-8-Extração de areia e cascalho para utilização imediata na construção civil,2019,Junho,04/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Gurinhatã,"MARIO DE CARVALHO BERNARDES NETO / FAZENDA BORÁ VOLTA LINDA - MAT. 55.937, 55.938 E 55.939 ",LAS RAS,3,"G-02-07-0-Criação de bovinos, bubalinos, equinos, muares, ovinos e caprinos, em regime extensivo",2019,Junho,04/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Romaria,"GAR MINERAÇÃO COMÉRCIO, IMPORTAÇÃO E EXPORTAÇÃO LTDA. / DNPM 830.878/2012 / FAZENDA MARRECOS - MAT. 27.560",LAS RAS,3,"A-02-10-0-Lavra em aluvião, exceto areia e cascalho",2019,Junho,04/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Uberlândia,JAMES FRANÇA ACOSTA E JOÃO BATISTA DE PAULA/FAZENDA RIO DAS PEDRAS E DOURADINHO - MAT. 1.522 E 13.045,LAS RAS,3,G-02-04-6-Suinocultura,2019,Junho,04/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Uberaba,CÉU DE MINAS NUTRIÇÃO ANIMAL LTDA./MAT. 50.798,LAS RAS,3,"D-01-05-8-Processamento de subprodutos de origem animal para produção de sebo, óleos e farinha",2019,Junho,04/06/2019,Deferida
SUPRAM Noroeste de Minas,Unaí,FAZENDA RIACHO DOCE E ÁGUA VIVA E SERRA VERDE ,LAC 2 - LOC,4,G-05-02-0-Barragem de irrigação ou de perenização para agricultura,2019,Junho,01/06/2019,Deferida
SUPRAM Sul de Minas,Carmo do Rio Claro,HI-TECH FERTILIZANTES E NUTRIÇÃO VEGETAL LTDA. ,LAS Cadastro,1,C-04-19-7-Formulação de adubos e fertilizantes,2019,Junho,05/06/2019,Deferida
SUPRAM Sul de Minas,Varginha,SOLUTION DO BRASIL DISTRIBUIDORA LTDA. ,LAS Cadastro,2,C-06-01-7-Fabricação de produtos de perfumaria e cosméticos,2019,Junho,05/06/2019,Deferida
SUPRAM Sul de Minas,Paraguaçu,PISOTETO LAJES E ARTEFATOS DE CIMENTO EM GERAL LTDA.,LAS Cadastro,2,"B-01-09-0-Aparelhamento, beneficiamento, preparação e transformação de minerais não metálicos, não instalados na área da planta de extração",2019,Junho,05/06/2019,Deferida
SUPRAM Sul de Minas,Andradas,ADRIANO JOANES MARIA VAN ROOYEN E OUTRA ,LAS Cadastro,2,"G-01-01-5-Horticultura (floricultura, olericultura, fruticultura anual, viveiricultura e cultura de ervas medicinais e aromáticas) Pot.",2019,Junho,05/06/2019,Deferida
